Link,Title,Description,PublishDate
https://www.investing.com/news/stock-market-news/biden-proposal-would-effectively-prohibit-sale-of-polestar-cars-in-us-automaker-says-3687083,Polestar says Biden proposal would 'effectively prohibit' sale of its cars in US,By David Shepardson WASHINGTON (Reuters) -Polestar said on Monday that a proposed Biden administration rule to bar the use of Chinese vehicle hardware and software would...,2024-10-29 00:00:43
https://www.investing.com/news/stock-market-news/brazil-institute-sues-social-media-giants-for-525-million-over-excessive-use-by-minors-3687085,Brazil institute sues social media giants for $525 million over excessive use by minors,"By Ricardo Brito BRASILIA (Reuters) - Brazil's Collective Defense Institute has filed two lawsuits demanding 3 billion reais ($525.27 million) from the Brazilian units of TikTok,...",2024-10-28 23:50:37
https://www.investing.com/news/stock-market-news/us-stock-futures-steady-with-big-tech-earnings-econ-data-on-tap-3687081,"US stock futures steady with big tech earnings, econ. data on tap","Investing.com-- U.S. stock index futures steadied in evening deals on Monday following a positive session on Wall Street, with focus turning squarely to a barrage of major earnings...",2024-10-28 23:35:09
https://www.investing.com/news/stock-market-news/futures-march-higher-as-markets-await-megacap-earnings-us-election-3685197,"Wall Street closes higher ahead of megacap earnings, election",By Abigail Summerville (Reuters) -Wall Street closed higher on Monday ahead of a packed week of earnings from megacap companies and the final stretch before the Nov. 5...,2024-10-28 23:26:31
https://www.investing.com/news/stock-market-news/southwest-airlines-must-face-pilots-union-lawsuit-over-intimidation-discipline-threats-3686785,Southwest Airlines must face pilots' union lawsuit over threats,By Jonathan Stempel (Reuters) -Southwest Airlines must face a lawsuit accusing the carrier of illegally intimidating and disciplining pilots who participate in its more than...,2024-10-28 22:36:55
https://www.investing.com/news/economy-news/oil-slides-on-mideast-respite-yen-down-as-japan-govt-loses-majority-3684778,"Stocks gain, oil falls 6%; big tech-related earnings on tap this week",By Caroline Valetkevitch NEW YORK (Reuters) -Global stock indexes rose on Monday as investors awaited earnings reports this week from several of the biggest U.S. tech-related...,2024-10-28 21:56:39
https://www.investing.com/news/stock-market-news/cadence-raises-fourthquarter-profit-forecast-on-robust-demand-from-chip-designers-3686905,Cadence raises midpoint of 2024 profit forecast on robust demand from chip designers,"(Reuters) - Cadence Design (NASDAQ:CDNS) Systems raised the midpoint of its annual profit forecast on Monday, betting on the boom in generative AI to drive demand for its software...",2024-10-28 21:41:30
https://www.investing.com/news/stock-market-news/nextera-plans-to-raise-15-billion-to-fund-energy-projects-3686944,NextEra plans to raise $1.5 billion to fund energy projects,(Reuters) - Utility firm NextEra Energy (NYSE:NEE) said on Monday it intends to raise $1.5 billion through the sale of equity units to fund new projects. Utility firms across the...,2024-10-28 21:32:55
https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-006-3686938,Mexico stocks higher at close of trade; S&amp;P/BMV IPC up 0.06%,"Investing.com – Mexico stocks were higher after the close on Monday, as gains in the Industrials, Consumer Goods &amp; Services and Consumer Staples sectors led shares higher. At the...",2024-10-28 21:30:28
https://www.investing.com/news/stock-market-news/colombia-stocks-higher-at-close-of-trade-colcap-up-037-3686936,Colombia stocks higher at close of trade; COLCAP up 0.37%,"Investing.com – Colombia stocks were higher after the close on Monday, as gains in the Industrials, Services and Agriculture sectors led shares higher. At the close in Colombia,...",2024-10-28 21:30:04
